1,32,0,0
2,64,0,0
3,128,0,0
4,256,0,0
5,512,0.0312433,0
6,1024,0.156213,0.1249732
7,2048,0.66081,0.624852
8,4096,2.48764,2.64324
9,8192,9.92385,9.95056
10,16384,40.0062,39.6954
